country,year,gdp_pcap (US dollars)
IDN,2020,3853.7028877414587
IDN,2021,4287.173139950984
IDN,2022,4730.834848361069
IDN,2023,4876.3077451225245
IDN,2024,4925.430487518614
IND,2012,1429.321995200319
IND,2013,1432.843975121953
IND,2014,1553.8839607511832
IND,2015,1583.998159079848
IND,2016,1707.5089291224338
IND,2017,1950.1046828086635
IND,2018,1966.254551716789
IND,2019,2041.4286369858535
IND,2020,1907.042516376687
IND,2021,2239.6138436748224
IND,2022,2347.4482943462317
IND,2023,2530.120312782038
IND,2024,2696.663899844631
IRL,2012,49411.73874767873
IRL,2013,52619.212374581715
IRL,2014,57278.25909111072
IRL,2015,64311.823468405746
IRL,2016,64192.94180531784
IRL,2017,72198.1076995377
IRL,2018,80738.96288346963
IRL,2019,81810.19264814066
IRL,2020,86622.50672512945
IRL,2021,103961.97635064943
IRL,2022,105234.51156759709
IRL,2023,103887.80038808093
IRL,2024,107316.33730692079
IRN,2012,8114.080998318772
IRN,2013,6222.741948403264
IRN,2014,5672.063728963186
IRN,2015,4952.733555321775
IRN,2016,5477.037123899129
IRN,2017,5753.115446593992
IRN,2018,4631.787090165143
IRN,2019,3831.2789476333733
IRN,2020,2988.781224147159
IRN,2021,4334.792686313537
IRN,2022,4405.092915197908
IRN,2023,4465.637668533057
IRN,2024,4771.40029026226
IRQ,2012,6477.596184509547
IRQ,2013,6650.352822473952
IRQ,2014,6249.3922697896905
IRQ,2015,4440.141892523674
IRQ,2016,4334.4209640418785
IRQ,2017,4759.284643546699
IRQ,2018,5646.689320747416
IRQ,2019,5671.856863294203
IRQ,2020,4295.189451212281
IRQ,2021,4868.494310807826
IRQ,2022,6520.73154560584
IRQ,2023,5965.318350777613
IRQ,2024,6073.610323427084
ITA,2012,34854.39494419646
ITA,2013,35701.67460023755
ITA,2014,36028.34940223488
ITA,2015,30639.882975143213
ITA,2016,31391.569289810846
ITA,2017,32844.115660604024
ITA,2018,34904.10819238336
ITA,2019,33812.788724867976
ITA,2020,32091.48666213664
ITA,2021,36852.542541495095
ITA,2022,35653.9042103495
ITA,2023,39065.42443656329
ITA,2024,40226.0472416173
JOR,2012,4169.504700546181
JOR,2013,4311.219167130379
JOR,2014,4191.180500849864
JOR,2015,4042.756780975546
JOR,2016,3986.7167701085286
JOR,2017,4065.6162874938427
JOR,2018,4145.439896732647
JOR,2019,4170.114400346496
JOR,2020,4022.0401356134957
JOR,2021,4183.4999832686635
JOR,2022,4332.251598979315
JOR,2023,4466.083142085751
JOR,2024,4618.095924985674
JPN,2012,49145.28043081928
JPN,2013,40898.64789647444
JPN,2014,38475.39524618382
JPN,2015,34960.63938433849
JPN,2016,39375.47316207813
JPN,2017,38834.05293412266
JPN,2018,39751.13309827112
JPN,2019,40415.956764954695
JPN,2020,40028.734172676246
JPN,2021,40094.55997952878
JPN,2022,34065.64389625263
JPN,2023,33836.17562716171
JPN,2024,32475.89249921912
KAZ,2012,12018.796652799263
KAZ,2013,13478.459627611956
KAZ,2014,12427.709457693862
KAZ,2015,10196.122625598211
KAZ,2016,7475.566886894244
