country,year,mean_light,gdp_pcap (US dollars),population,land_area,urban_pop_rate
MOZ,2014,0.0085284924134612,697.1426804441226,25788475.0,786380.0,33.878
SWZ,2014,0.1676016896963119,3771.9079645840648,1136299.0,17200.0,23.149
BDI,2014,0.0100333327427506,250.5404811118771,10799785.0,25680.0,11.776
RWA,2014,0.055235918611288,724.9575261092621,11364757.0,24670.0,16.967
UGA,2014,0.0144621916115283,896.0547955463935,36395539.0,200520.0,21.504
PRT,2014,0.0676993727684021,22120.685012710743,10401062.0,91605.6,62.936
JOR,2014,0.3175365328788757,4191.180500849864,8791710.0,88780.0,90.0
LSO,2014,0.0343067124485969,1173.5377928819005,2080089.0,30360.0,26.502
CMR,2014,0.0053135845810174,1649.443390594896,22059893.0,472710.0,53.976
GAB,2014,0.0262798424810171,9201.362766481054,1978399.0,257670.0,87.651
NER,2014,0.0025946353562176,565.3098973117496,19215909.0,1266700.0,16.219
BFA,2014,0.0106495954096317,764.8616751062254,18229461.0,273600.0,26.934
TGO,2014,0.025088183581829,855.5852848566562,7472450.0,54390.0,39.579
GHA,2014,0.092256836593151,1949.908329238455,28041592.0,227540.0,53.419
GNB,2014,0.0015915813855826,652.0225010294494,1741122.0,28120.0,41.715
EGY,2014,0.4806009829044342,3133.391022655408,97528654.0,995450.0,42.839
YEM,2014,0.0742446854710578,1430.1642096417968,30226309.0,527970.0,34.165
MRT,2014,0.0018580940086394,1713.008652642339,3848514.0,1030700.0,50.203
GNQ,2014,0.0076007763855159,15548.662465661924,1399828.0,28050.0,70.083
GMB,2014,0.0263959802687168,568.0045355886399,2164528.0,10120.0,58.528
MDG,2014,0.0020967766176909,505.6849225034353,24764348.0,581800.0,34.534
MUS,2014,0.003900354495272,10366.355075493617,1261208.0,1997.0,41.111
COM,2014,0.003850206034258,1615.7171846020924,711503.0,1861.0,28.338
BHR,2014,9.83421516418457,26451.79656474528,1314562.0,771.0,88.915
LBN,2015,1.406761646270752,7714.109999880404,6472469.0,10230.0,88.106
ETH,2015,0.0063867308199405,621.8456738081328,103867135.0,1128539.4,19.428
SOM,2015,0.0003538497549016,445.583080073396,13806963.0,627340.0,43.245
KEN,2015,0.0205018371343612,1489.1195977728398,47088526.0,571096.05,25.658
MWI,2015,0.0190056767314672,539.605363240686,17085587.0,94280.0,16.313
TZA,2015,0.0091394307091832,939.127319335938,52020962.0,885800.0,31.617
SYR,2015,0.1020500436425209,847.7316319425646,19424618.0,183630.0,52.168
MAR,2015,0.0640506148338317,3146.24780273438,34607588.0,446300.0,60.809
COG,2015,0.0144031746312975,2439.351894036956,5097581.0,341500.0,65.543
COD,2015,0.0043183886446058,467.9145805459001,81035531.0,2267050.0,42.74
NAM,2015,0.0052889306098222,4774.106508657753,2374300.0,823290.0,46.9
ZAF,2015,0.059353020042181,6112.273824859742,56723537.0,1213090.0,64.828
OMN,2015,0.2486491203308105,18808.30779218389,4184895.0,309500.0,81.35
LTU,2015,0.1563966274261474,14269.803987828654,2911109.0,62650.0,67.23
CZE,2015,0.6654214262962341,17931.59876707676,10546059.0,77210.0,73.477
DEU,2015,0.720024585723877,41911.01098510537,81686611.0,348860.0,77.2
EST,2015,0.242627739906311,17722.155766952314,1315407.0,43470.0,68.416
LVA,2015,0.1312197893857956,13321.975314061565,1977527.0,62227.0,67.98
NOR,2015,0.0027563648764044,74809.96580498976,5188607.0,365190.7,81.091
SWE,2015,0.1421422213315963,51197.95293411751,9799186.0,407310.64,86.553
ARE,2015,1.5762861967086792,43534.997269463136,8505237.0,71020.0,85.674
BEL,2015,2.395668268203736,40893.804537772005,11274196.0,30333.0,97.876
ALB,2015,0.2691909372806549,3981.726622618674,2880703.0,27400.0,57.434
TUR,2015,0.5575469136238098,11049.995110094244,78218479.0,769630.0,73.611
