country,year,land_area
TGO,2018,54390.0
TUN,2018,155360.0
TUR,2018,769630.0
TZA,2018,885800.0
UGA,2018,200520.0
YEM,2018,527970.0
ZAF,2018,1213090.0
ZMB,2018,743390.0
ZWE,2018,386850.0
AGO,2019,1246700.0
ALB,2019,27400.0
ARE,2019,71020.0
ARM,2019,28470.0
AUT,2019,82520.0
BDI,2019,25680.0
BEL,2019,30494.0
BEN,2019,112760.0
BFA,2019,273600.0
BGR,2019,108560.0
BHR,2019,780.0
BWA,2019,566730.0
CAF,2019,622980.0
CHE,2019,39509.63
CIV,2019,318000.0
CMR,2019,472710.0
COD,2019,2267050.0
COG,2019,341500.0
COM,2019,1861.0
CZE,2019,77205.5
DEU,2019,349390.0
DJI,2019,23180.0
DNK,2019,40000.0
DZA,2019,2381740.0
EGY,2019,995450.0
ERI,2019,121080.546
ESP,2019,499570.036
EST,2019,42750.0
ETH,2019,1128570.9
FIN,2019,303930.0
FRA,2019,538950.0
GAB,2019,257670.0
GBR,2019,241930.0
GHA,2019,227533.0
GIN,2019,245720.0
GMB,2019,10120.0
GNB,2019,28120.0
GNQ,2019,28050.0
GRC,2019,128900.0
HRV,2019,55964.0
HUN,2019,91260.0
IRL,2019,68890.0
IRN,2019,1622500.0
IRQ,2019,434130.0
ITA,2019,295717.0
JOR,2019,88794.0
KEN,2019,578920.25
KWT,2019,17820.0
LBN,2019,10230.0
LBR,2019,96320.0
LBY,2019,1759540.0
LSO,2019,30360.0
LTU,2019,62620.0
LVA,2019,62227.0
MAR,2019,446300.0
MDG,2019,581800.0
MLI,2019,1220190.0
MOZ,2019,786380.0
MRT,2019,1030700.0
MUS,2019,1997.0
MWI,2019,94280.0
NAM,2019,823290.0
NER,2019,1266700.0
NGA,2019,910770.0
NLD,2019,33670.0
NOR,2019,365094.0
OMN,2019,309500.0
POL,2019,306110.0
PRT,2019,91605.6
QAT,2019,11490.0
ROU,2019,230080.0
RWA,2019,24670.0
SAU,2019,2149690.0
SDN,2019,1868000.0
SEN,2019,192530.0
SLE,2019,72180.0
SOM,2019,627340.0
SSD,2019,631930.0
SWE,2019,407280.0
SWZ,2019,17200.0
SYR,2019,183630.0
TCD,2019,1259200.0
TGO,2019,54390.0
TUN,2019,155360.0
TUR,2019,769630.0
TZA,2019,885800.0
UGA,2019,200520.0
YEM,2019,527970.0
ZAF,2019,1213090.0
ZMB,2019,743390.0
ZWE,2019,386850.0
AGO,2020,1246700.0
ALB,2020,27400.0
ARE,2020,71020.0
ARM,2020,28197.41
AUT,2020,82520.0
BDI,2020,25680.0
BEL,2020,30494.0
BEN,2020,112760.0
BFA,2020,273600.0
BGR,2020,108560.0
BHR,2020,785.0
BWA,2020,566730.0
CAF,2020,622980.0
CHE,2020,39509.63
CIV,2020,318000.0
CMR,2020,472710.0
COD,2020,2267050.0
COG,2020,341500.0
COM,2020,1861.0
CZE,2020,77198.53
DEU,2020,349390.0
DJI,2020,23180.0
DNK,2020,40000.0
DZA,2020,2381740.0
EGY,2020,995450.0
ERI,2020,121040.829
ESP,2020,499556.645
EST,2020,42750.0
ETH,2020,1128571.4
FIN,2020,303940.0
FRA,2020,538950.0
GAB,2020,257670.0
GBR,2020,241930.0
GHA,2020,227530.0
GIN,2020,245720.0
GMB,2020,10120.0
GNB,2020,28120.0
GNQ,2020,28050.0
GRC,2020,128900.0
HRV,2020,55960.0
HUN,2020,91260.0
IRL,2020,68890.0
IRN,2020,1622500.0
IRQ,2020,434130.0
ITA,2020,295717.0
JOR,2020,88794.0
KEN,2020,580876.3
KWT,2020,17820.0
LBN,2020,10230.0
LBR,2020,96320.0
LBY,2020,1759540.0
LSO,2020,30360.0
LTU,2020,62620.0
LVA,2020,62230.0
MAR,2020,446300.0
MDG,2020,581800.0
MLI,2020,1220190.0
MOZ,2020,786380.0
MRT,2020,1030700.0
MUS,2020,1997.0
MWI,2020,94280.0
NAM,2020,823290.0
NER,2020,1266700.0
NGA,2020,910770.0
NLD,2020,33670.0
NOR,2020,364285.0
OMN,2020,309500.0
POL,2020,306130.0
PRT,2020,91605.6
QAT,2020,11490.0
ROU,2020,230080.0
RWA,2020,24670.0
SAU,2020,2149690.0
SDN,2020,1868000.0
SEN,2020,192530.0
SLE,2020,72180.0
SOM,2020,627340.0
SSD,2020,631930.0
SWE,2020,407280.0
SWZ,2020,17200.0
SYR,2020,183630.0
TCD,2020,1259200.0
TGO,2020,54390.0
TUN,2020,155360.0
TUR,2020,769630.0
TZA,2020,885800.0
UGA,2020,200520.0
YEM,2020,527970.0
ZAF,2020,1213090.0
ZMB,2020,743390.0
ZWE,2020,386850.0
AGO,2021,1246700.0
ALB,2021,27400.0
ARE,2021,71020.0
ARM,2021,28197.09
AUT,2021,82520.0
BDI,2021,25680.0
BEL,2021,30494.0
BEN,2021,112760.0
BFA,2021,273600.0
BGR,2021,108560.0
BHR,2021,790.0
BWA,2021,566730.0
CAF,2021,622980.0
CHE,2021,39509.63
CIV,2021,318000.0
CMR,2021,472710.0
COD,2021,2267050.0
COG,2021,341500.0
COM,2021,1861.0
CZE,2021,77186.83
DEU,2021,349390.0
DJI,2021,23180.0
DNK,2021,40000.0
DZA,2021,2381740.0
EGY,2021,995450.0
ERI,2021,121178.2
ESP,2021,499733.244
EST,2021,42750.0
ETH,2021,1128505.6
FIN,2021,303947.7
FRA,2021,538950.0
GAB,2021,257670.0
GBR,2021,241930.0
GHA,2021,227533.0
GIN,2021,245720.0
GMB,2021,10120.0
GNB,2021,28120.0
GNQ,2021,28050.0
GRC,2021,128900.0
HRV,2021,55960.0
HUN,2021,91260.0
IRL,2021,68890.0
IRN,2021,1622500.0
IRQ,2021,434130.0
ITA,2021,295717.0
JOR,2021,88794.0
KEN,2021,580876.3
KWT,2021,17820.0
LBN,2021,10230.0
LBR,2021,96320.0
LBY,2021,1759540.0
LSO,2021,30360.0
LTU,2021,62610.0
LVA,2021,62230.0
MAR,2021,446300.0
MDG,2021,581800.0
MLI,2021,1220190.0
MOZ,2021,786380.0
MRT,2021,1030700.0
MUS,2021,1997.0
MWI,2021,94280.0
NAM,2021,823290.0
NER,2021,1266700.0
NGA,2021,910770.0
NLD,2021,33670.0
NOR,2021,364270.0
OMN,2021,309500.0
POL,2021,306100.0
PRT,2021,91605.6
QAT,2021,11490.0
ROU,2021,230080.0
RWA,2021,24670.0
SAU,2021,2149690.0
SDN,2021,1868000.0
SEN,2021,192530.0
SLE,2021,72180.0
SOM,2021,627340.0
SSD,2021,631930.0
SWE,2021,407280.0
SWZ,2021,17200.0
SYR,2021,183630.0
TCD,2021,1259200.0
TGO,2021,54390.0
TUN,2021,155360.0
TUR,2021,769630.0
TZA,2021,885800.0
UGA,2021,200520.0
YEM,2021,527970.0
ZAF,2021,1213090.0
ZMB,2021,743390.0
ZWE,2021,386850.0
AGO,2022,1246700.0
ALB,2022,27400.0
ARE,2022,71020.0
ARM,2022,28198.32
AUT,2022,82520.0
BDI,2022,25680.0
BEL,2022,30494.0
BEN,2022,112760.0
BFA,2022,273600.0
BGR,2022,108560.0
BHR,2022,790.0
BWA,2022,566730.0
CAF,2022,622980.0
CHE,2022,39509.63
CIV,2022,318000.0
CMR,2022,472710.0
COD,2022,2267050.0
COG,2022,341500.0
COM,2022,1861.0
CZE,2022,77171.73
DEU,2022,349360.0
DJI,2022,23180.0
DNK,2022,40000.0
DZA,2022,2381740.0
EGY,2022,995450.0
ERI,2022,121178.2
ESP,2022,499713.68100000004
EST,2022,42730.0
ETH,2022,1128498.8
FIN,2022,303947.7
FRA,2022,538950.0
GAB,2022,257670.0
GBR,2022,241930.0
GHA,2022,227533.0
GIN,2022,245720.0
GMB,2022,10120.0
GNB,2022,28120.0
GNQ,2022,28050.0
GRC,2022,128900.0
HRV,2022,55960.0
HUN,2022,91260.0
IRL,2022,68890.0
IRN,2022,1622500.0
IRQ,2022,434130.0
ITA,2022,295720.0
JOR,2022,88794.0
KEN,2022,580876.3
KWT,2022,17820.0
LBN,2022,10230.0
LBR,2022,96320.0
LBY,2022,1759540.0
LSO,2022,30360.0
LTU,2022,62604.0
LVA,2022,62230.0
MAR,2022,446300.0
MDG,2022,581800.0
MLI,2022,1220190.0
MOZ,2022,786380.0
MRT,2022,1030700.0
