country,year,urban_pop_rate
CHN,2021,62.512
CIV,2021,52.18
CMR,2021,58.148
COD,2021,46.235
COG,2021,68.283
COM,2021,29.613
CZE,2021,74.214
DEU,2021,77.544
DJI,2021,78.217
DNK,2021,88.24
DZA,2021,74.261
EGY,2021,42.862
ERI,2021,41.985
ESP,2021,81.056
EST,2021,69.415
ETH,2021,22.174
FIN,2021,85.596
FRA,2021,81.242
GAB,2021,90.423
GBR,2021,84.152
GHA,2021,57.985
GIN,2021,37.264
GMB,2021,63.222
GNB,2021,44.617
GNQ,2021,73.561
GRC,2021,80.038
HRV,2021,57.878
HUN,2021,72.245
IDN,2021,57.29
IND,2021,35.393
IRL,2021,63.912
IRN,2021,76.345
IRQ,2021,71.119
ITA,2021,71.346
JOR,2021,91.626
JPN,2021,91.867
KAZ,2021,57.821
KEN,2021,28.493
KGZ,2021,37.146
KHM,2021,24.668
KOR,2021,81.414
KWT,2021,100.0
LAO,2021,36.939
LBN,2021,89.093
LBR,2021,52.573
LBY,2021,80.994
LKA,2021,18.86
LSO,2021,29.48
LTU,2021,68.249
LVA,2021,68.421
MAR,2021,64.065
MDG,2021,39.207
MLI,2021,44.677
MMR,2021,31.448
MNG,2021,68.785
MOZ,2021,37.628
MRT,2021,56.133
MUS,2021,40.775
MWI,2021,17.695
MYS,2021,77.696
NAM,2021,53.005
NER,2021,16.751
NGA,2021,52.746
NLD,2021,92.572
NOR,2021,83.323
NPL,2021,21.008
OMN,2021,87.044
PAK,2021,37.44
PHL,2021,47.684
POL,2021,60.075
PRT,2021,66.849
QAT,2021,99.278
ROU,2021,54.329
RWA,2021,17.568
SAU,2021,84.508
SDN,2021,35.593
SEN,2021,48.6
SGP,2021,100.0
SLE,2021,43.372
SOM,2021,46.731
SSD,2021,20.514
SWE,2021,88.238
SWZ,2021,24.369
SYR,2021,56.124
TCD,2021,23.781
TGO,2021,43.358
THA,2021,52.163
TJK,2021,27.726
TKM,2021,52.998
TUN,2021,69.888
TUR,2021,76.569
TZA,2021,35.954
UGA,2021,25.553
UZB,2021,50.427
VNM,2021,38.052
YEM,2021,38.546
ZAF,2021,67.847
ZMB,2021,45.192
ZWE,2021,32.303
AFG,2022,26.616
AGO,2022,68.081
ALB,2022,63.799
ARE,2022,87.543
ARM,2022,63.573
AUT,2022,59.256
BDI,2022,14.417
BEL,2022,98.153
BEN,2022,49.534
BFA,2022,31.877
BGD,2022,39.711
BGR,2022,76.363
BHR,2022,89.743
BWA,2022,72.224
CAF,2022,43.12
CHE,2022,74.092
CHN,2022,63.56
CIV,2022,52.661
CMR,2022,58.733
COD,2022,46.837
COG,2022,68.736
COM,2022,29.864
CZE,2022,74.377
DEU,2022,77.648
DJI,2022,78.38
DNK,2022,88.367
DZA,2022,74.772
EGY,2022,42.967
ERI,2022,42.625
ESP,2022,81.304
EST,2022,69.609
ETH,2022,22.661
FIN,2022,85.681
FRA,2022,81.509
GAB,2022,90.735
